Fecha,Localidad,Estacion,Transecto,Parcela,Especie,CAP (cm),DAP (cm),Altura (m),Estado,Estado de decaimiento,Biomasa vivos (kg),Biomasa de arboles muertos (kg),Biomasa total (kg)
10/17/2022,San Andres,Smith Channel,1,1,Rm,185,58.88719124,20,V,,4184.230333,,4184.230333
10/17/2022,San Andres,Smith Channel,1,1,Rm,105,33.42245989,20,V,,1127.437471,,1127.437471
10/17/2022,San Andres,Smith Channel,1,1,Rm,87.5,27.85204991,20,V,,739.2036896,,739.2036896
10/17/2022,San Andres,Smith Channel,1,1,Rm,130,41.38018844,20,V,,1848.612666,,1848.612666
10/17/2022,San Andres,Smith Channel,1,2,Rm,133,42.33511586,20,V,,1948.88667,,1948.88667
10/17/2022,San Andres,Smith Channel,1,2,Rm,63,20.05347594,20,V,,345.4984115,,345.4984115
10/17/2022,San Andres,Smith Channel,1,2,Rm,140,44.56327986,20,V,,2194.639147,,2194.639147
10/17/2022,San Andres,Smith Channel,1,2,Lr,140,44.56327986,20,V,,1094.922985,,1094.922985
10/17/2022,San Andres,Smith Channel,1,2,Lr,190,60.47873695,20,V,,2161.031669,,2161.031669
10/17/2022,San Andres,Smith Channel,1,2,Rm,106,33.74076903,20,V,,1152.45387,,1152.45387
10/17/2022,San Andres,Smith Channel,1,2,Rm,64.5,20.53093965,20,V,,364.8433948,,364.8433948
10/17/2022,San Andres,Smith Channel,1,3,Rm,180,57.29564553,20,V,,3927.039881,,3927.039881
10/17/2022,San Andres,Smith Channel,1,3,Lr,155,49.33791698,20,V,,1373.404945,,1373.404945
10/17/2022,San Andres,Smith Channel,1,3,Lr,135,42.97173415,20,V,,1009.762449,,1009.762449
10/17/2022,San Andres,Smith Channel,1,3,Rm,179,56.97733639,20,V,,3876.711686,,3876.711686
10/17/2022,San Andres,Smith Channel,1,3,Rm,63,20.05347594,20,V,,345.4984115,,345.4984115
10/17/2022,San Andres,Smith Channel,1,3,Rm,26,8.276037688,6,V,,44.51646532,,44.51646532
10/17/2022,San Andres,Smith Channel,1,3,Rm,13.5,4.297173415,5,V,,9.761007691,,9.761007691
10/17/2022,San Andres,Smith Channel,1,3,Rm,12.3,3.915202445,5,V,,7.868468042,,7.868468042
10/17/2022,San Andres,Smith Channel,1,6,Rm,103,32.78584161,20,V,,1078.337993,,1078.337993
10/17/2022,San Andres,Smith Channel,1,6,Lr,23,7.321110262,6,V,,19.63337529,,19.63337529
10/17/2022,San Andres,Smith Channel,1,6,Rm,116,36.92386045,20,V,,1419.948075,,1419.948075
10/17/2022,San Andres,Smith Channel,1,6,Lr,22,7.00280112,5,V,,17.78336616,,17.78336616
10/17/2022,San Andres,Smith Channel,1,6,Lr,9,2.864782277,4,V,,2.430914237,,2.430914237
10/17/2022,San Andres,Smith Channel,1,6,Rm,20,6.366182837,6,V,,24.24977033,,24.24977033
10/17/2022,San Andres,Smith Channel,1,6,Rm,15,4.774637128,4.5,V,,12.45767432,,12.45767432
10/17/2022,San Andres,Smith Channel,1,6,Lr,34,10.82251082,6,V,,46.87365023,,46.87365023
10/17/2022,San Andres,Smith Channel,1,6,Rm,93,29.60275019,20,V,,851.2584805,,851.2584805
10/17/2022,San Andres,Smith Channel,1,6,Lr,22,7.00280112,6,V,,17.78336616,,17.78336616
10/17/2022,San Andres,Smith Channel,1,6,Lr,24,7.639419404,6,V,,21.58472017,,21.58472017
10/17/2022,San Andres,Smith Channel,1,6,Lr,28,8.912655971,5,V,,30.42262996,,30.42262996
10/17/2022,San Andres,Smith Channel,1,6,Rm,23.5,7.480264833,8,V,,35.22624102,,35.22624102
10/17/2022,San Andres,Smith Channel,1,6,Rm,20.1,6.398013751,8,V,,24.53142138,,24.53142138
10/17/2022,San Andres,Smith Channel,1,6,Rm,23.5,7.480264833,1.75,M,3,35.22624102,24.658369,24.658369
10/17/2022,San Andres,Smith Channel,1,6,Rm,17.2,5.47491724,8,V,,17.10219657,,17.10219657
10/17/2022,San Andres,Smith Channel,1,6,Rm,24.5,7.798573975,1.66,M,3,38.79440683,27.156085,27.156085
10/17/2022,San Andres,Smith Channel,1,6,Rm,8.6,2.73745862,3,V,,3.436189805,,3.436189805
10/17/2022,San Andres,Smith Channel,1,6,Lr,37,11.77743825,7,V,,56.58332087,,56.58332087
10/17/2022,San Andres,Smith Channel,1,6,Lr,33,10.50420168,10,V,,43.85948722,,43.85948722
10/17/2022,San Andres,Smith Channel,1,6,Rm,11.3,3.596893303,4,V,,6.46584666,,6.46584666
10/17/2022,San Andres,Smith Channel,1,6,Rm,16.4,5.220269926,5,V,,15.31654609,,15.31654609
10/17/2022,San Andres,Smith Channel,1,6,Rm,19.8,6.302521008,8,V,,23.69200392,,23.69200392
10/17/2022,San Andres,Smith Channel,1,6,Rm,18.2,5.793226381,7,V,,19.49288701,,19.49288701
10/17/2022,San Andres,Smith Channel,1,6,Rm,18,5.729564553,20,V,,19.00051235,,19.00051235
10/17/2022,San Andres,Smith Channel,1,6,Rm,16.3,5.188439012,6,V,,15.10117851,,15.10117851
10/17/2022,San Andres,Smith Channel,1,6,Rm,20.1,6.398013751,10,V,,24.53142138,,24.53142138
10/17/2022,San Andres,Smith Channel,1,6,Rm,14.5,4.615482557,5,V,,11.51723468,,11.51723468
