Estacion,Fecha,Especie,Circunferencia a la altura del pecho,DAP,Fromard et al 1998,"Medina, 2016",Yepes et al 2016 A,Yepes et al 2016 B
Estacion,2/27/2017,Avicennia,86,27.4,394.2413623,671.6469974,6.148556926,467.9548578
Estacion,2/27/2017,Avicennia,66.5,21.2,212.6854853,357.5551621,5.518550822,249.2321259
Estacion,2/27/2017,Avicennia,17,5.4,8.054587711,12.61893912,2.176778743,8.817278082
Estacion,2/27/2017,Avicennia,114,36.3,775.4209797,1340.43219,6.839092249,933.4490377
Estacion,2/27/2017,Avicennia,39,12.4,59.09094844,96.63719636,4.211132084,67.42428832
Estacion,2/27/2017,Avicennia,80,25.5,331.4224112,562.5186758,5.971371305,391.972446
Estacion,2/27/2017,Avicennia,68,21.6,224.3816278,377.6533365,5.573199928,263.2310479
Estacion,2/27/2017,Avicennia,29,9.2,29.02158308,46.74039692,3.485280834,32.62816639
Estacion,2/27/2017,Avicennia,36,11.5,48.76316721,79.41783905,4.01502745,55.41811819
Estacion,2/27/2017,Avicennia,16,5.1,6.963921424,10.87607481,2.02824842,7.600297283
Estacion,2/27/2017,Avicennia,20,6.4,11.89701183,18.79604452,2.574950121,13.12964441
Estacion,2/27/2017,Avicennia,93,29.6,475.69105,813.6935429,6.340274809,566.8438928
Estacion,2/27/2017,Avicennia,24,7.6,18.42777428,29.38969817,3.021637935,20.52301569
Estacion,2/27/2017,Avicennia,22,7,14.95479065,23.74372815,2.808460061,16.58295759
Estacion,2/27/2017,Avicennia,111,35.3,727.3459969,1255.594983,6.773755044,874.4115364
Estacion,2/27/2017,Avicennia,90,28.6,439.6913547,750.8403182,6.259939743,523.0888302
Estacion,2/27/2017,Avicennia,109,34.7,696.2889434,1200.852785,6.729208362,836.315379
Estacion,2/27/2017,Avicennia,13,4.1,4.230872613,6.537115247,1.519531976,4.569876741
Estacion,2/27/2017,Avicennia,33,10.5,39.57303504,64.16110739,3.801849576,44.77881407
Estacion,2/27/2017,Avicennia,13,4.1,4.230872613,6.537115247,1.519531976,4.569876741
Estacion,2/27/2017,Avicennia,57,18.1,146.9148031,245.0245545,5.140881657,170.8399064
Estacion,2/27/2017,Avicennia,45,14.3,83.30593381,137.2499973,4.56172915,95.73575332
Estacion,2/27/2017,Avicennia,86,27.4,394.2413623,671.6469974,6.148556926,467.9548578
Estacion,2/27/2017,Avicennia,42,13.4,70.59341649,115.8914802,4.392696615,80.84747703
Estacion,2/27/2017,Avicennia,26,8.3,22.33067953,35.76196567,3.217742569,24.96926587
Estacion,2/27/2017,Avicennia,75,23.9,283.865711,480.1964268,5.813251929,334.6472292
Estacion,2/27/2017,Avicennia,28,8.9,26.6775031,42.8872866,3.3993071,29.94028115
Estacion,2/27/2017,Avicennia,24,7.6,18.42777428,29.38969817,3.021637935,20.52301569
Estacion,2/27/2017,Avicennia,16,5.1,6.963921424,10.87607481,2.02824842,7.600297283
Estacion,2/27/2017,Avicennia,49,15.6,102.1966114,169.1160997,4.770365781,117.9454437
Estacion,2/27/2017,Avicennia,123,39.2,930.5466957,1614.922132,7.025257721,1124.446548
Estacion,2/27/2017,Avicennia,47,15,92.46997983,152.6910364,4.668267675,106.4980999
Estacion,2/27/2017,Avicennia,62,19.7,179.7653392,301.1188408,5.346885294,209.9195441
Estacion,2/27/2017,Avicennia,56,17.8,140.8047055,234.6193409,5.097517693,163.5901541
Estacion,2/27/2017,Avicennia,22,7,14.95479065,23.74372815,2.808460061,16.58295759
Estacion,12/15/2018,Avicennia,100,31.8,566.1948357,972.1453981,6.518073006,677.1391491
Estacion,12/15/2018,Avicennia,23,7.3,16.63844404,26.47764532,2.91736688,18.49090624
Estacion,12/15/2018,Avicennia,63.7,20.3,191.8229393,321.765792,5.413158229,224.3024297
Estacion,12/15/2018,Avicennia,43.5,13.8,76.79626889,126.3034856,4.478670349,88.10554981
Estacion,12/15/2018,Avicennia,70,22.3,240.5476951,405.4694046,5.644219394,282.6048078
Estacion,12/15/2018,Avicennia,19.3,6.1,10.92203202,17.22392315,2.487663535,12.03222718
Estacion,12/15/2018,Avicennia,50,15.9,107.2738616,177.7035011,4.819862414,123.9300532
