Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
1,EIA PPII - KALE sobre YNC,Abarema jupunba (Willd.) Britton & Killip,0.200624978,0.036560278,0.580672469,0.491187274,18.33333333,7,19.71682421,9.858412107,29.57523632,75,3
2,EIA PPII - KALE sobre YNC,Albizia niopoides (Benth.) Burkart,0.2342182,0.046419188,4.134947456,0.740283995,22.72727273,10.72727273,25.10418701,12.55209351,138.0730286,313,11
3,EIA PPII - KALE sobre YNC,Alchornea cf. triplinervia (Spreng.) Müll. Arg.,0.175964122,0.028722526,1.243677694,0.357888658,15.8,4.65,12.1665648,6.083282399,60.83282399,215,10
4,EIA PPII - KALE sobre YNC,Alchornea triplinervia (Spreng.) Mull. Arg.,0.19430166,0.033580174,1.691657862,0.272315197,12.75,6,9.8422604,4.9211302,59.0535624,325,12
5,EIA PPII - KALE sobre YNC,Amaioua corymbosa Kunt.,0.183128515,0.031348684,1.120537595,0.224768418,8.647058824,2.741176458,10.25862963,5.129314815,87.19835186,266,17
6,EIA PPII - KALE sobre YNC,Anacardium excelsum (Bertero ex Kunt.h) Skeels,0.289900728,0.066558696,1.435375512,1.005175285,20.75,7.375,18.62551665,9.312758327,37.25103331,128,4
7,EIA PPII - KALE sobre YNC,Andira chigorodensis R.T. Penn.,0.149048606,0.018184785,0.324632146,0.176269743,12.5,5.650000006,13.82222199,6.911110997,27.64444399,184,4
8,EIA PPII - KALE sobre YNC,Andira inermis (Wright) DC.,0.122557808,0.012392571,0.177228959,0.084479521,10.09090909,2.018181818,10.32455319,5.162276593,56.78504252,203,11
9,EIA PPII - KALE sobre YNC,Aniba paraensis (Meissner) Mel.,0.206981003,0.036402336,0.915087264,0.499444671,18,8,16.05924988,8.029624939,32.11849976,132,4
10,EIA PPII - KALE sobre YNC,Annona cf. reticulata Willd.,0.110195134,0.009635598,0.04853075,0.068785921,10.5,4,7.596940279,3.79847014,7.596940279,27,2
