Key1,Proyecto,Species,DAP_INDIV,AB_INDIV,VOL_COM,VOL_TOTAL,H_TOTAL,H_FUSTE,BIOM_INDIV,CARB_INDIV,Sum_CARB_INDIV,Sum_ID_INDV_MU,Count_ESPECIE
1,EIA PPII - PLATERO sobre YNC,Abarema jupunba (Willd.) Britton & Killip,0.251634181,0.062843092,6.007111389,0.776262413,15.27272727,9.727272727,0.143663937,0.07183193,0.790151235,289,11
2,EIA PPII - PLATERO sobre YNC,Albizia niopoides (Benth.) Burkart,0.227909997,0.044153143,2.798206031,0.704701143,22.14285714,12.14285714,0.087195426,0.043597727,0.305184088,178,7
3,EIA PPII - PLATERO sobre YNC,Andira chigorodensis R.T. Penn.,0.149048248,0.018184782,0.324632167,0.176269646,12.5,5.650000006,0.006315165,0.00315758,0.012630321,184,4
4,EIA PPII - PLATERO sobre YNC,Aniba paraensis (Meissner) Mel.,0.20698075,0.03640235,0.915086299,0.499444984,18,8,0.047570497,0.023785225,0.095140902,132,4
5,EIA PPII - PLATERO sobre YNC,Apeiba membranacea Benth.,0.130666502,0.01361255,0.086282399,0.098897498,10.5,5.399999976,0.001802365,0.000901183,0.001802366,59,2
6,EIA PPII - PLATERO sobre YNC,Apuleia leiocarpa (Vogel) J.F. Macbr.,0.303348988,0.072273001,0.505910993,1.264780045,25,10,0.186587006,0.0932936,0.0932936,6,1
7,EIA PPII - PLATERO sobre YNC,Aspidosperma polyneuron Müll.Arg.,0.167691007,0.0220857,0.0772999,0.108220004,7,5,0.00206463,0.00103232,0.00103232,35,1
8,EIA PPII - PLATERO sobre YNC,Astronium graveolens Jacq.,0.254648007,0.058438866,0.866554026,0.692722691,16.33333333,7.333333333,0.07993889,0.039969463,0.119908389,71,3
9,EIA PPII - PLATERO sobre YNC,Bactris sp.,0.152723998,0.018319201,1.00E-05,0.179527998,14,1.00E-05,0.00521872,0.00260936,0.00260936,40,1
10,EIA PPII - PLATERO sobre YNC,Bellucia pentamera Naudin.,0.144542896,0.018516569,1.628413838,0.146959765,10.62068966,4.327586205,0.006540794,0.003270396,0.094841492,919,29
11,EIA PPII - PLATERO sobre YNC,Brosimum guianense (Aubl.) Ducke,0.181717001,0.032335394,4.097154781,0.30859877,12.61111111,9.333333333,0.031327502,0.015663787,0.281948175,485,18
12,EIA PPII - PLATERO sobre YNC,Calophyllum brasiliense Cambess.,0.218024611,0.046348741,5.390674719,0.540657159,16.61111111,8.361111111,0.066329314,0.033164626,0.596963266,384,18
13,EIA PPII - PLATERO sobre YNC,Casearia aculeata Jacq.,0.180974007,0.025722999,0.0198067,0.252086014,14,1.100000024,0.00971915,0.00485958,0.00485958,8,1
14,EIA PPII - PLATERO sobre YNC,Casearia corymbosa Kunth,0.108013332,0.009170133,0.066787501,0.0696039,11,3.5,0.000951431,0.000475716,0.001427147,136,3
15,EIA PPII - PLATERO sobre YNC,Cecropia engleriana Snethl.,0.189256257,0.038319579,13.48382297,0.46284868,16.2027027,9.486486486,0.06655038,0.033275167,2.462362327,1902,74
16,EIA PPII - PLATERO sobre YNC,Cecropia ficifolia Warb. ex Snethl.,0.164183997,0.02308062,0.6572887,0.331422,18.4,7.3,0.024881743,0.012440882,0.062204411,68,5
17,EIA PPII - PLATERO sobre YNC,Cecropia membranacea Trécul,0.211746142,0.039688218,43.92521141,0.325128807,10.71195652,7.956521739,0.023832026,0.011916014,2.192546543,3204,184
18,EIA PPII - PLATERO sobre YNC,Cecropia peltata L.,0.137596726,0.015654325,0.651110606,0.124572018,11.27272727,5.318181818,0.003158928,0.001579464,0.017374102,172,11
19,EIA PPII - PLATERO sobre YNC,Cedrela odorata L.,0.214501127,0.042743645,2.127270926,0.659190428,16.875,8,0.102310264,0.051155135,0.409241082,189,8
20,EIA PPII - PLATERO sobre YNC,Ceiba pentandra (L.) Gaertn.,0.320219994,0.0805353,0.450998008,1.127490044,20,8,0.15117,0.075585,0.075585,7,1
21,EIA PPII - PLATERO sobre YNC,Centrolobium paraense Tul.,0.151197334,0.0180217,0.2509562,0.196918339,15.66666667,6.666666667,0.006222323,0.00311116,0.00933348,154,3
22,EIA PPII - PLATERO sobre YNC,Chrysophyllum cainito L.,0.201373998,0.037339846,2.9182342,0.419738218,13.5,7.230769231,0.047831941,0.023915934,0.310907138,380,13
23,EIA PPII - PLATERO sobre YNC,Clathrotropis brunnea Amshoff,0.257958332,0.054862913,5.569810219,0.721048384,17.66666667,9.1,0.085729724,0.042864885,0.642973275,362,15
24,EIA PPII - PLATERO sobre YNC,Coccoloba acuminata Kunth.,0.160188749,0.0216162,0.941733792,0.185436575,12.5,5.116666665,0.006703013,0.003351507,0.040218084,258,12
25,EIA PPII - PLATERO sobre YNC,Cordia collococca L.,0.137830252,0.01499395,0.081357081,0.095587751,9,1.800000001,0.001712078,0.000856038,0.003424151,129,4
26,EIA PPII - PLATERO sobre YNC,Cordia panamensis L.Riley,0.285740909,0.076654669,6.782745607,0.911842369,14.81818182,9.909090909,0.156225679,0.078112902,0.859241924,314,11
27,EIA PPII - PLATERO sobre YNC,Couratari guianensis Aubl.,0.161988306,0.023977935,1.266393218,0.215469404,11.07692308,5.153846154,0.015065475,0.007532733,0.097925523,203,13
28,EIA PPII - PLATERO sobre YNC,Croton schiedeanus Schltdl.,0.37910749,0.124920754,0.331863809,1.295882523,16,1.75,0.232759856,0.1163797,0.232759399,19,2
29,EIA PPII - PLATERO sobre YNC,Crudia glaberrima (Steud) J.F.Macbr.,0.139420003,0.0152665,0.053432599,0.170984,16,5,0.00477275,0.00238637,0.00238637,39,1
30,EIA PPII - PLATERO sobre YNC,Cupania americana L.,0.125395528,0.012904996,0.981329214,0.09718934,9.852941176,5.529411765,0.002803824,0.001401909,0.023832457,338,17
31,EIA PPII - PLATERO sobre YNC,Dendropanax caucanus (Harms) Harms,0.13369,0.0140375,0.068783604,0.088436,9,7,0.00142632,0.00071316,0.00071316,31,1
32,EIA PPII - PLATERO sobre YNC,Discophora guianensis Miers,0.222976007,0.043962798,0.647529371,0.712444477,20,8,0.094246335,0.047123121,0.094246243,61,2
33,EIA PPII - PLATERO sobre YNC,Elaeis guineensis Jacq.,0.477040321,0.180619334,1.42605004,1.662489971,13,3.33334,0.324662005,0.162331094,0.486993283,59,3
